"Mkt.Status","Active Ingredient","Proprietary Name","Appl. No.","Product Number","Dosage Form","Route","Strength","TE Code","RLD","RS","Applicant Holder","Approval Date"
"RX","AMOXICILLIN","AMOXICILLIN","A065271","001","CAPSULE","ORAL","250MG","AB","","","AUROBINDO PHARMA LTD","Nov 9, 2005"
"RX","AMOXICILLIN","AMOXICILLIN","A062058","001","CAPSULE","ORAL","250MG","AB","","","CHARTWELL LIFE MOLECULES LLC","Approved Prior to Jan 1, 1982"
"RX","AMOXICILLIN","AMOXICILLIN","A065291","001","CAPSULE","ORAL","250MG","AB","","","HIKMA PHARMACEUTICALS","Feb 5, 2007"
"RX","AMOXICILLIN","AMOXICILLIN","A207471","001","CAPSULE","ORAL","250MG","AB","","","MICRO LABS LTD","Jun 24, 2022"
"RX","AMOXICILLIN","AMOXICILLIN","A064076","001","CAPSULE","ORAL","250MG","AB","","","SANDOZ INC","Sep 30, 1994"
"RX","AMOXICILLIN","AMOXICILLIN","A061926","001","CAPSULE","ORAL","250MG","AB","","","TEVA PHARMACEUTICALS USA INC","Approved Prior to Jan 1, 1982"
"RX","AMOXICILLIN","AMOXICILLIN","A065271","002","CAPSULE","ORAL","500MG","AB","","","AUROBINDO PHARMA LTD","Nov 9, 2005"
"RX","AMOXICILLIN","AMOXICILLIN","A062058","002","CAPSULE","ORAL","500MG","AB","","","CHARTWELL LIFE MOLECULES LLC","Approved Prior to Jan 1, 1982"
"RX","AMOXICILLIN","AMOXICILLIN","A065291","002","CAPSULE","ORAL","500MG","AB","","","HIKMA PHARMACEUTICALS","Feb 5, 2007"
"RX","AMOXICILLIN","AMOXICILLIN","A207471","002","CAPSULE","ORAL","500MG","AB","","","MICRO LABS LTD","Jun 24, 2022"
"RX","AMOXICILLIN","AMOXICILLIN","A064076","002","CAPSULE","ORAL","500MG","AB","","","SANDOZ INC","Sep 30, 1994"
"RX","AMOXICILLIN","AMOXICILLIN","A061926","003","CAPSULE","ORAL","500MG","AB","","RS","TEVA PHARMACEUTICALS USA INC","Approved Prior to Jan 1, 1982"
"RX","AMOXICILLIN","AMOXIL","A062216","001","CAPSULE","ORAL","250MG","AB","","","US ANTIBIOTICS LLC","Approved Prior to Jan 1, 1982"
"RX","AMOXICILLIN","AMOXIL","A062216","004","CAPSULE","ORAL","500MG","AB","","","US ANTIBIOTICS LLC","Approved Prior to Jan 1, 1982"
"RX","AMOXICILLIN","AMOXICILLIN","A204030","001","FOR SUSPENSION","ORAL","125MG/5ML","AB","","","AUROBINDO PHARMA LTD","Sep 15, 2014"
"RX","AMOXICILLIN","AMOXICILLIN","A065322","002","FOR SUSPENSION","ORAL","125MG/5ML","AB","","","HIKMA PHARMACEUTICALS","Jun 19, 2006"
"RX","AMOXICILLIN","AMOXICILLIN","A065387","001","FOR SUSPENSION","ORAL","125MG/5ML","AB","","","SANDOZ INC","Mar 26, 2007"
"RX","AMOXICILLIN","AMOXICILLIN","A065334","001","FOR SUSPENSION","ORAL","200MG/5ML","AB","","","AUROBINDO PHARMA LTD","Dec 28, 2006"
"RX","AMOXICILLIN","AMOXICILLIN","A065325","002","FOR SUSPENSION","ORAL","200MG/5ML","AB","","","HIKMA PHARMACEUTICALS","Jun 19, 2006"
"RX","AMOXICILLIN","AMOXICILLIN","A065378","001","FOR SUSPENSION","ORAL","200MG/5ML","AB","","","SANDOZ INC","Mar 26, 2007"
"RX","AMOXICILLIN","AMOXICILLIN","A065119","001","FOR SUSPENSION","ORAL","200MG/5ML","AB","","","TEVA PHARMACEUTICALS USA INC","Dec 4, 2002"
"RX","AMOXICILLIN","AMOXICILLIN","A204030","002","FOR SUSPENSION","ORAL","250MG/5ML","AB","","","AUROBINDO PHARMA LTD","Sep 15, 2014"
"RX","AMOXICILLIN","AMOXICILLIN","A065322","001","FOR SUSPENSION","ORAL","250MG/5ML","AB","","","HIKMA PHARMACEUTICALS","Jun 19, 2006"
"RX","AMOXICILLIN","AMOXICILLIN","A065387","002","FOR SUSPENSION","ORAL","250MG/5ML","AB","","","SANDOZ INC","Mar 26, 2007"
"RX","AMOXICILLIN","AMOXICILLIN","A061931","002","FOR SUSPENSION","ORAL","250MG/5ML","AB","","RS","TEVA PHARMACEUTICALS USA INC","Approved Prior to Jan 1, 1982"
"RX","AMOXICILLIN","AMOXICILLIN","A065334","002","FOR SUSPENSION","ORAL","400MG/5ML","AB","","","AUROBINDO PHARMA LTD","Dec 28, 2006"
"RX","AMOXICILLIN","AMOXICILLIN","A065319","002","FOR SUSPENSION","ORAL","400MG/5ML","AB","","","CHARTWELL RX SCIENCES LLC","Jun 18, 2007"
"RX","AMOXICILLIN","AMOXICILLIN","A065325","001","FOR SUSPENSION","ORAL","400MG/5ML","AB","","","HIKMA PHARMACEUTICALS","Jun 19, 2006"
"RX","AMOXICILLIN","AMOXICILLIN","A065378","002","FOR SUSPENSION","ORAL","400MG/5ML","AB","","","SANDOZ INC","Mar 26, 2007"
"RX","AMOXICILLIN","AMOXICILLIN","A065119","002","FOR SUSPENSION","ORAL","400MG/5ML","AB","","RS","TEVA PHARMACEUTICALS USA INC","Dec 4, 2002"
"RX","AMOXICILLIN","AMOXICILLIN PEDIATRIC","A061931","003","FOR SUSPENSION","ORAL","50MG/ML","AB","","","TEVA PHARMACEUTICALS USA INC","Dec 1, 1982"
"RX","AMOXICILLIN","AMOXIL","A062226","005","FOR SUSPENSION","ORAL","50MG/ML","AB","","","US ANTIBIOTICS LLC","Approved Prior to Jan 1, 1982"
"RX","AMOXICILLIN","AMOXIL","A062226","001","FOR SUSPENSION","ORAL","125MG/5ML","AB","","","US ANTIBIOTICS LLC","Approved Prior to Jan 1, 1982"
"RX","AMOXICILLIN","AMOXIL","A062226","002","FOR SUSPENSION","ORAL","250MG/5ML","AB","","","US ANTIBIOTICS LLC","Approved Prior to Jan 1, 1982"
"RX","AMOXICILLIN","AMOXIL","N050760","002","FOR SUSPENSION","ORAL","400MG/5ML","AB","RLD","","US ANTIBIOTICS LLC","Apr 15, 1999"
"RX","AMOXICILLIN","LAROTID","A062226","003","FOR SUSPENSION","ORAL","125MG/5ML","AB","","","US ANTIBIOTICS LLC","Approved Prior to Jan 1, 1982"
"RX","AMOXICILLIN","LAROTID","A062226","004","FOR SUSPENSION","ORAL","250MG/5ML","AB","","","US ANTIBIOTICS LLC","Approved Prior to Jan 1, 1982"
"RX","AMOXICILLIN","AMOXICILLIN","A065256","001","TABLET","ORAL","500MG","AB","","","AUROBINDO PHARMA LTD","Nov 9, 2005"
"RX","AMOXICILLIN","AMOXICILLIN","A065228","001","TABLET","ORAL","500MG","AB","","","SANDOZ INC","Jul 13, 2005"
"RX","AMOXICILLIN","AMOXICILLIN","A065056","001","TABLET","ORAL","500MG","AB","","","TEVA PHARMACEUTICALS USA INC","Sep 18, 2000"
"RX","AMOXICILLIN","AMOXICILLIN","A065256","002","TABLET","ORAL","875MG","AB","","","AUROBINDO PHARMA LTD","Nov 9, 2005"
"RX","AMOXICILLIN","AMOXICILLIN","A065255","001","TABLET","ORAL","875MG","AB","","","HIKMA PHARMACEUTICALS","Mar 29, 2006"
"RX","AMOXICILLIN","AMOXICILLIN","A065228","002","TABLET","ORAL","875MG","AB","","","SANDOZ INC","Jul 13, 2005"
"RX","AMOXICILLIN","AMOXICILLIN","A065056","002","TABLET","ORAL","875MG","AB","","RS","TEVA PHARMACEUTICALS USA INC","Sep 18, 2000"
"RX","AMOXICILLIN","AMOXICILLIN","A064013","002","TABLET, CHEWABLE","ORAL","125MG","","","","TEVA PHARMACEUTICALS USA INC","Sep 11, 1995"
"RX","AMOXICILLIN","AMOXICILLIN","A064013","001","TABLET, CHEWABLE","ORAL","250MG","","","RS","TEVA PHARMACEUTICALS USA INC","Dec 22, 1992"
"RX","AMOXICILLIN; CLARITHROMYCIN; LANSOPRAZOLE","LANSOPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN (COPACKAGED)","A206006","001","CAPSULE, TABLET, CAPSULE, DELAYED REL PELLETS","ORAL","500MG; 500MG; 30MG","AB","","RS","RISING PHARMA HOLDINGS INC","Oct 7, 2016"
"RX","AMOXICILLIN; CLARITHROMYCIN; LANSOPRAZOLE","LANSOPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN (COPACKAGED)","A202588","001","CAPSULE, TABLET, CAPSULE, DELAYED REL PELLETS","ORAL","500MG; 500MG; 30MG","AB","","","SANDOZ INC","Mar 4, 2014"
"RX","AMOXICILLIN; CLARITHROMYCIN; VONOPRAZAN FUMARATE","VOQUEZNA TRIPLE PAK","N215152","001","CAPSULE, TABLET, TABLET","ORAL","500MG; 500MG; EQ 20MG BASE","","RLD","RS","PHATHOM PHARMACEUTICALS INC","May 3, 2022"
"RX","AMOXICILLIN; CLAVULANATE POTASSIUM","AMOXICILLIN AND CLAVULANATE POTASSIUM","A209371","001","FOR SUSPENSION","ORAL","125MG/5ML; EQ 31.25MG BASE/5ML","AB","","","AUROBINDO PHARMA LTD","Apr 19, 2019"
"RX","AMOXICILLIN; CLAVULANATE POTASSIUM","AMOXICILLIN AND CLAVULANATE POTASSIUM","A201090","001","FOR SUSPENSION","ORAL","200MG/5ML; EQ 28.5MG BASE/5ML","AB","","","AUROBINDO PHARMA LTD","Dec 20, 2011"
"RX","AMOXICILLIN; CLAVULANATE POTASSIUM","AMOXICILLIN AND CLAVULANATE POTASSIUM","A065191","002","FOR SUSPENSION","ORAL","200MG/5ML; EQ 28.5MG BASE/5ML","AB","","","HIKMA PHARMACEUTICALS","Jan 25, 2005"
"RX","AMOXICILLIN; CLAVULANATE POTASSIUM","AMOXICILLIN AND CLAVULANATE POTASSIUM","A205187","001","FOR SUSPENSION","ORAL","200MG/5ML; EQ 28.5MG BASE/5ML","AB","","","MICRO LABS LTD INDIA","May 21, 2021"
"RX","AMOXICILLIN; CLAVULANATE POTASSIUM","AMOXICILLIN AND CLAVULANATE POTASSIUM","A065066","001","FOR SUSPENSION","ORAL","200MG/5ML; EQ 28.5MG BASE/5ML","AB","","","SANDOZ INC","Jun 5, 2002"
"RX","AMOXICILLIN; CLAVULANATE POTASSIUM","AMOXICILLIN AND CLAVULANATE POTASSIUM","A065098","001","FOR SUSPENSION","ORAL","200MG/5ML; EQ 28.5MG BASE/5ML","AB","","","SANDOZ INC","Dec 16, 2002"
"RX","AMOXICILLIN; CLAVULANATE POTASSIUM","AMOXICILLIN AND CLAVULANATE POTASSIUM","A065089","001","FOR SUSPENSION","ORAL","200MG/5ML; EQ 28.5MG BASE/5ML","AB","","","TEVA PHARMACEUTICALS USA INC","May 25, 2004"
"RX","AMOXICILLIN; CLAVULANATE POTASSIUM","AMOXICILLIN AND CLAVULANATE POTASSIUM","A209371","002","FOR SUSPENSION","ORAL","250MG/5ML; EQ 62.5MG BASE/5ML","AB","","","AUROBINDO PHARMA LTD","Apr 19, 2019"
"RX","AMOXICILLIN; CLAVULANATE POTASSIUM","AMOXICILLIN AND CLAVULANATE POTASSIUM","A065431","001","FOR SUSPENSION","ORAL","250MG/5ML; EQ 62.5MG BASE/5ML","AB","","","CIPLA LTD","Nov 25, 2008"
"RX","AMOXICILLIN; CLAVULANATE POTASSIUM","AMOXICILLIN AND CLAVULANATE POTASSIUM","A210374","001","FOR SUSPENSION","ORAL","250MG/5ML; EQ 62.5MG BASE/5ML","AB","","","DEVA HOLDING AS","Nov 29, 2023"
"RX","AMOXICILLIN; CLAVULANATE POTASSIUM","AMOXICILLIN AND CLAVULANATE POTASSIUM","A201090","002","FOR SUSPENSION","ORAL","400MG/5ML; EQ 57MG BASE/5ML","AB","","","AUROBINDO PHARMA LTD","Dec 20, 2011"
"RX","AMOXICILLIN; CLAVULANATE POTASSIUM","AMOXICILLIN AND CLAVULANATE POTASSIUM","A210416","001","FOR SUSPENSION","ORAL","400MG/5ML; EQ 57MG BASE/5ML","AB","","","DEVA HOLDING AS","Dec 11, 2023"
"RX","AMOXICILLIN; CLAVULANATE POTASSIUM","AMOXICILLIN AND CLAVULANATE POTASSIUM","A065191","001","FOR SUSPENSION","ORAL","400MG/5ML; EQ 57MG BASE/5ML","AB","","","HIKMA PHARMACEUTICALS","Jan 25, 2005"
"RX","AMOXICILLIN; CLAVULANATE POTASSIUM","AMOXICILLIN AND CLAVULANATE POTASSIUM","A205187","002","FOR SUSPENSION","ORAL","400MG/5ML; EQ 57MG BASE/5ML","AB","","","MICRO LABS LTD INDIA","May 21, 2021"
"RX","AMOXICILLIN; CLAVULANATE POTASSIUM","AMOXICILLIN AND CLAVULANATE POTASSIUM","A065066","002","FOR SUSPENSION","ORAL","400MG/5ML; EQ 57MG BASE/5ML","AB","","","SANDOZ INC","Jun 5, 2002"
"RX","AMOXICILLIN; CLAVULANATE POTASSIUM","AMOXICILLIN AND CLAVULANATE POTASSIUM","A065098","002","FOR SUSPENSION","ORAL","400MG/5ML; EQ 57MG BASE/5ML","AB","","","SANDOZ INC","Dec 16, 2002"
"RX","AMOXICILLIN; CLAVULANATE POTASSIUM","AMOXICILLIN AND CLAVULANATE POTASSIUM","A065089","002","FOR SUSPENSION","ORAL","400MG/5ML; EQ 57MG BASE/5ML","AB","","RS","TEVA PHARMACEUTICALS USA INC","May 25, 2004"
"RX","AMOXICILLIN; CLAVULANATE POTASSIUM","AMOXICILLIN AND CLAVULANATE POTASSIUM","A201091","001","FOR SUSPENSION","ORAL","600MG/5ML; EQ 42.9MG BASE/5ML","AB","","","AUROBINDO PHARMA LTD","Dec 20, 2011"
"RX","AMOXICILLIN; CLAVULANATE POTASSIUM","AMOXICILLIN AND CLAVULANATE POTASSIUM","A065420","001","FOR SUSPENSION","ORAL","600MG/5ML; EQ 42.9MG BASE/5ML","AB","","","CIPLA LTD","Dec 2, 2013"
"RX","AMOXICILLIN; CLAVULANATE POTASSIUM","AMOXICILLIN AND CLAVULANATE POTASSIUM","A209351","001","FOR SUSPENSION","ORAL","600MG/5ML; EQ 42.9MG BASE/5ML","AB","","","DEVA HOLDING AS","Sep 13, 2023"
"RX","AMOXICILLIN; CLAVULANATE POTASSIUM","AMOXICILLIN AND CLAVULANATE POTASSIUM","A065373","001","FOR SUSPENSION","ORAL","600MG/5ML; EQ 42.9MG BASE/5ML","AB","","","HIKMA PHARMACEUTICALS","Nov 9, 2007"
"RX","AMOXICILLIN; CLAVULANATE POTASSIUM","AMOXICILLIN AND CLAVULANATE POTASSIUM","A217805","001","FOR SUSPENSION","ORAL","600MG/5ML; EQ 42.9MG BASE/5ML","AB","","","MICRO LABS LTD","Dec 8, 2023"
"RX","AMOXICILLIN; CLAVULANATE POTASSIUM","AMOXICILLIN AND CLAVULANATE POTASSIUM","A065358","001","FOR SUSPENSION","ORAL","600MG/5ML; EQ 42.9MG BASE/5ML","AB","","","SANDOZ INC","Aug 13, 2007"
"RX","AMOXICILLIN; CLAVULANATE POTASSIUM","AMOXICILLIN AND CLAVULANATE POTASSIUM","A065162","001","FOR SUSPENSION","ORAL","600MG/5ML; EQ 42.9MG BASE/5ML","AB","","RS","TEVA PHARMACEUTICALS USA INC","Mar 12, 2004"
"RX","AMOXICILLIN; CLAVULANATE POTASSIUM","AUGMENTIN '125'","N050575","001","FOR SUSPENSION","ORAL","125MG/5ML; EQ 31.25MG BASE/5ML","AB","RLD","","US ANTIBIOTICS LLC","Aug 6, 1984"
