"Mkt.Status","Active Ingredient","Proprietary Name","Appl. No.","Product Number","Dosage Form","Route","Strength","TE Code","RLD","RS","Applicant Holder","Approval Date"
"RX","DICLOFENAC SODIUM","DICLOFENAC SODIUM","A206493","001","GEL","TOPICAL","3%","AB","","","ACTAVIS MID ATLANTIC LLC","Dec 2, 2015"
"RX","DICLOFENAC SODIUM","DICLOFENAC SODIUM","A200936","001","GEL","TOPICAL","3%","AB","","","AMNEAL PHARMACEUTICALS LLC","Oct 28, 2013"
"RX","DICLOFENAC SODIUM","DICLOFENAC SODIUM","A208301","001","GEL","TOPICAL","3%","AB","","","GLENMARK PHARMACEUTICALS LTD","Sep 13, 2016"
"RX","DICLOFENAC SODIUM","DICLOFENAC SODIUM","A210893","001","GEL","TOPICAL","3%","AB","","","PADAGIS ISRAEL PHARMACEUTICALS LTD","Jul 27, 2018"
"RX","DICLOFENAC SODIUM","DICLOFENAC SODIUM","A206298","001","GEL","TOPICAL","3%","AB","","RS","SUN PHARMA CANADA INC","Apr 28, 2016"
"RX","DICLOFENAC SODIUM","DICLOFENAC SODIUM","A212351","001","GEL","TOPICAL","3%","BX","","","ALEMBIC PHARMACEUTICALS LTD","Jul 27, 2022"
"RX","DICLOFENAC SODIUM","DICLOFENAC SODIUM","A206116","001","SOLUTION","TOPICAL","1.5%","AT","","","AMNEAL PHARMACEUTICALS","Sep 2, 2016"
"RX","DICLOFENAC SODIUM","DICLOFENAC SODIUM","A206655","001","SOLUTION","TOPICAL","1.5%","AT","","","EPIC PHARMA LLC","Jan 28, 2021"
"RX","DICLOFENAC SODIUM","DICLOFENAC SODIUM","A204132","001","SOLUTION","TOPICAL","1.5%","AT","","","LUPIN LTD","Aug 20, 2015"
"RX","DICLOFENAC SODIUM","DICLOFENAC SODIUM","A205878","001","SOLUTION","TOPICAL","1.5%","AT","","","NOVEL LABORATORIES INC","Dec 9, 2015"
"RX","DICLOFENAC SODIUM","DICLOFENAC SODIUM","A203818","001","SOLUTION","TOPICAL","1.5%","AT","","RS","SUN PHARMA CANADA INC","Nov 26, 2014"
"RX","DICLOFENAC SODIUM","DICLOFENAC SODIUM","A202852","001","SOLUTION","TOPICAL","1.5%","AT","","","WATSON LABORATORIES INC","Nov 24, 2014"
"RX","DICLOFENAC SODIUM","DICLOFENAC SODIUM","A206411","001","SOLUTION","TOPICAL","1.5%","AT","","","ZYDUS LIFESCIENCES LTD","Apr 17, 2018"
"RX","DICLOFENAC SODIUM","DICLOFENAC SODIUM","A212506","001","SOLUTION","TOPICAL","2%","AB","","","ALEMBIC PHARMACEUTICALS LTD","Nov 29, 2022"
