"Mkt.Status","Active Ingredient","Proprietary Name","Appl. No.","Product Number","Dosage Form","Route","Strength","TE Code","RLD","RS","Applicant Holder","Approval Date"
"OTC","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN","GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE","A091070","001","TABLET, EXTENDED RELEASE","ORAL","30MG; 600MG","","","","ACTAVIS LABORATORIES FL INC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC","Aug 31, 2015"
"OTC","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN","GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE","A209692","001","TABLET, EXTENDED RELEASE","ORAL","30MG; 600MG","","","","AMNEAL PHARMACEUTICALS OF NEW YORK LLC","Nov 1, 2018"
"OTC","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN","GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE","A206941","001","TABLET, EXTENDED RELEASE","ORAL","30MG; 600MG","","","","AUROBINDO PHARMA LTD","Mar 17, 2017"
"OTC","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN","GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE","A217340","001","TABLET, EXTENDED RELEASE","ORAL","30MG; 600MG","","","","DR REDDYS LABORATORIES LTD","Aug 1, 2023"
"OTC","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN","GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE","A207602","002","TABLET, EXTENDED RELEASE","ORAL","30MG; 600MG","","","","PERRIGO R AND D CO","Mar 5, 2018"
"OTC","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN","GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE","A214781","001","TABLET, EXTENDED RELEASE","ORAL","30MG; 600MG","","","","SUN PHARMACEUTICAL INDUSTRIES LTD","Jul 1, 2021"
"OTC","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN","GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE","A091070","002","TABLET, EXTENDED RELEASE","ORAL","60MG; 1.2GM","","","","ACTAVIS LABORATORIES FL INC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC","Aug 31, 2015"
"OTC","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN","GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE","A209692","002","TABLET, EXTENDED RELEASE","ORAL","60MG; 1.2GM","","","","AMNEAL PHARMACEUTICALS OF NEW YORK LLC","Nov 1, 2018"
"OTC","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN","GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE","A217340","002","TABLET, EXTENDED RELEASE","ORAL","60MG; 1.2GM","","","","DR REDDYS LABORATORIES LTD","Aug 1, 2023"
"OTC","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN","GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE","A207602","001","TABLET, EXTENDED RELEASE","ORAL","60MG; 1.2GM","","","","PERRIGO R AND D CO","Mar 5, 2018"
"OTC","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN","GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE","A214781","002","TABLET, EXTENDED RELEASE","ORAL","60MG; 1.2GM","","","","SUN PHARMACEUTICAL INDUSTRIES LTD","Jul 1, 2021"
"OTC","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN","GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE","A206941","002","TABLET, EXTENDED RELEASE","ORAL","60MG; 1.2GM","","","","AUROBINDO PHARMA LTD","Mar 17, 2017"
"OTC","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN","MUCINEX DM","N021620","002","TABLET, EXTENDED RELEASE","ORAL","30MG; 600MG","","RLD","","RB HEALTH US LLC","Apr 29, 2004"
