"Mkt.Status","Active Ingredient","Proprietary Name","Appl. No.","Product Number","Dosage Form","Route","Strength","TE Code","RLD","RS","Applicant Holder","Approval Date"
"RX","BUPIVACAINE; MELOXICAM","ZYNRELEF KIT","N211988","002","SOLUTION, EXTENDED RELEASE","PERIARTICULAR","200MG/7ML (29.25MG/ML); 6MG/7ML (0.88MG/ML)","","RLD","RS","HERON THERAPEUTICS INC","May 12, 2021"
"RX","BUPIVACAINE; MELOXICAM","ZYNRELEF KIT","N211988","004","SOLUTION, EXTENDED RELEASE","PERIARTICULAR","400MG/14ML (29.25MG/ML); 12MG/14ML (0.88MG/ML)","","RLD","RS","HERON THERAPEUTICS INC","May 12, 2021"
"RX","MELOXICAM","MELOXICAM","A209487","001","CAPSULE","ORAL","5MG","AB","","","LUPIN LTD","Jun 1, 2020"
"RX","MELOXICAM","MELOXICAM","A211398","001","CAPSULE","ORAL","5MG","AB","","","NOVITIUM PHARMA LLC","Mar 9, 2021"
"RX","MELOXICAM","MELOXICAM","A209487","002","CAPSULE","ORAL","10MG","AB","","RS","LUPIN LTD","Jun 1, 2020"
"RX","MELOXICAM","MELOXICAM","A211398","002","CAPSULE","ORAL","10MG","AB","","","NOVITIUM PHARMA LLC","Mar 9, 2021"
"RX","MELOXICAM","QAMZOVA","N217593","001","SOLUTION","INTRAVENOUS","30MG/ML (30MG/ML)","","RLD","RS","NANJING DELOVA BIOTECH CO LTD","Apr 22, 2025"
"RX","MELOXICAM","XIFYRM","N218395","001","SOLUTION","INTRAVENOUS","30MG/ML (30MG/ML)","","RLD","RS","AZURITY PHARMACEUTICALS INC","Jun 5, 2025"
"RX","MELOXICAM","MELOXICAM","N021530","001","SUSPENSION","ORAL","7.5MG/5ML","","RLD","RS","AVONDALE PHARMACEUTICALS LLC","Jun 1, 2004"
"RX","MELOXICAM","MELOXICAM","A077920","001","TABLET","ORAL","7.5MG","AB","","","AIPING PHARMACEUTICAL INC","Jul 19, 2006"
"RX","MELOXICAM","MELOXICAM","A217579","001","TABLET","ORAL","7.5MG","AB","","","ASCENT PHARMACEUTICALS INC","Jun 7, 2023"
"RX","MELOXICAM","MELOXICAM","A078008","001","TABLET","ORAL","7.5MG","AB","","","AUROBINDO PHARMA LTD","Oct 2, 2006"
"RX","MELOXICAM","MELOXICAM","A077929","001","TABLET","ORAL","7.5MG","AB","","","CIPLA LTD","Jul 19, 2006"
"RX","MELOXICAM","MELOXICAM","A077882","001","TABLET","ORAL","7.5MG","AB","","","COREPHARMA LLC","Jul 20, 2006"
"RX","MELOXICAM","MELOXICAM","A077932","001","TABLET","ORAL","7.5MG","AB","","","GLENMARK PHARMACEUTICALS LTD","Jul 19, 2006"
"RX","MELOXICAM","MELOXICAM","A077928","001","TABLET","ORAL","7.5MG","AB","","","NOVITIUM PHARMA LLC","May 13, 2009"
"RX","MELOXICAM","MELOXICAM","A077938","001","TABLET","ORAL","7.5MG","AB","","","PURACAP PHARMACEUTICAL LLC","Jul 19, 2006"
"RX","MELOXICAM","MELOXICAM","A077931","001","TABLET","ORAL","7.5MG","AB","","","RISING PHARMA HOLDINGS INC","Jul 25, 2006"
"RX","MELOXICAM","MELOXICAM","A077927","001","TABLET","ORAL","7.5MG","AB","","","UNICHEM LABORATORIES LTD","Dec 20, 2006"
"RX","MELOXICAM","MELOXICAM","A077918","001","TABLET","ORAL","7.5MG","AB","","","YUNG SHIN PHARMACEUTICAL INDUSTRIAL CO LTD","Dec 7, 2006"
"RX","MELOXICAM","MELOXICAM","A077921","001","TABLET","ORAL","7.5MG","AB","","","ZYDUS PHARMACEUTICALS USA INC","Jul 19, 2006"
"RX","MELOXICAM","MELOXICAM","A077920","002","TABLET","ORAL","15MG","AB","","","AIPING PHARMACEUTICAL INC","Jul 19, 2006"
"RX","MELOXICAM","MELOXICAM","A217579","002","TABLET","ORAL","15MG","AB","","","ASCENT PHARMACEUTICALS INC","Jun 7, 2023"
"RX","MELOXICAM","MELOXICAM","A078008","002","TABLET","ORAL","15MG","AB","","","AUROBINDO PHARMA LTD","Oct 2, 2006"
"RX","MELOXICAM","MELOXICAM","A077929","002","TABLET","ORAL","15MG","AB","","","CIPLA LTD","Jul 19, 2006"
"RX","MELOXICAM","MELOXICAM","A077882","002","TABLET","ORAL","15MG","AB","","","COREPHARMA LLC","Jul 20, 2006"
"RX","MELOXICAM","MELOXICAM","A077932","002","TABLET","ORAL","15MG","AB","","","GLENMARK PHARMACEUTICALS LTD","Jul 19, 2006"
"RX","MELOXICAM","MELOXICAM","A077928","002","TABLET","ORAL","15MG","AB","","","NOVITIUM PHARMA LLC","May 13, 2009"
"RX","MELOXICAM","MELOXICAM","A077938","002","TABLET","ORAL","15MG","AB","","","PURACAP PHARMACEUTICAL LLC","Jul 19, 2006"
"RX","MELOXICAM","MELOXICAM","A077931","002","TABLET","ORAL","15MG","AB","","","RISING PHARMA HOLDINGS INC","Jul 25, 2006"
"RX","MELOXICAM","MELOXICAM","A077927","002","TABLET","ORAL","15MG","AB","","","UNICHEM LABORATORIES LTD","Dec 20, 2006"
"RX","MELOXICAM","MELOXICAM","A077918","002","TABLET","ORAL","15MG","AB","","","YUNG SHIN PHARMACEUTICAL INDUSTRIAL CO LTD","Dec 7, 2006"
"RX","MELOXICAM","MELOXICAM","A077921","002","TABLET","ORAL","15MG","AB","","RS","ZYDUS PHARMACEUTICALS USA INC","Jul 19, 2006"
"RX","MELOXICAM; RIZATRIPTAN BENZOATE","SYMBRAVO","N215431","001","TABLET","ORAL","20MG; EQ 10MG BASE","","RLD","RS","AXSOME THERAPEUTICS INC","Jan 30, 2025"
"DISCN","BUPIVACAINE; MELOXICAM","ZYNRELEF KIT","N211988","001","SOLUTION, EXTENDED RELEASE","PERIARTICULAR","60MG/2.3ML (29.25MG/ML); 1.8MG/2.3ML (0.88MG/ML)","","RLD","","HERON THERAPEUTICS INC","May 12, 2021"
"DISCN","BUPIVACAINE; MELOXICAM","ZYNRELEF KIT","N211988","003","SOLUTION, EXTENDED RELEASE","PERIARTICULAR","300MG/10.5ML (29.25MG/ML); 9MG/10.5ML (0.88MG/ML)","","RLD","","HERON THERAPEUTICS INC","May 12, 2021"
"DISCN","MELOXICAM","VIVLODEX","N207233","001","CAPSULE","ORAL","5MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**","","RLD","","ICEUTICA OPERATIONS LLC","Oct 22, 2015"
"DISCN","MELOXICAM","VIVLODEX","N207233","002","CAPSULE","ORAL","10MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**","","RLD","","ICEUTICA OPERATIONS LLC","Oct 22, 2015"
"DISCN","MELOXICAM","ANJESO","N210583","001","SOLUTION","INTRAVENOUS","30MG/ML (30MG/ML) **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**","","RLD","","BAUDAX BIO INC","Feb 20, 2020"
"DISCN","MELOXICAM","MELOXICAM","A077936","001","TABLET","ORAL","7.5MG","","","","CHARTWELL RX SCIENCES LLC","Jul 19, 2006"
"DISCN","MELOXICAM","MELOXICAM","A078039","001","TABLET","ORAL","7.5MG","","","","CHINA RESOURCES DOUBLE CRANE PHARMACEUTICAL CO LTD","Dec 14, 2006"
"DISCN","MELOXICAM","MELOXICAM","A077930","001","TABLET","ORAL","7.5MG","","","","IMPAX LABORATORIES INC","Jul 19, 2006"
"DISCN","MELOXICAM","MELOXICAM","A077944","001","TABLET","ORAL","7.5MG","","","","LUPIN PHARMACEUTICALS INC","Jul 19, 2006"
"DISCN","MELOXICAM","MELOXICAM","A077934","001","TABLET","ORAL","7.5MG","","","","MYLAN PHARMACEUTICALS INC","Jul 20, 2006"
"DISCN","MELOXICAM","MELOXICAM","A077923","001","TABLET","ORAL","7.5MG","","","","NATCO PHARMA LTD","Jul 19, 2006"
"DISCN","MELOXICAM","MELOXICAM","A077925","001","TABLET","ORAL","7.5MG","","","","ROXANE LABORATORIES INC","Jul 19, 2006"
"DISCN","MELOXICAM","MELOXICAM","A077937","001","TABLET","ORAL","7.5MG","","","","SUN PHARMACEUTICAL INDUSTRIES INC","Jul 19, 2006"
"DISCN","MELOXICAM","MELOXICAM","A078102","001","TABLET","ORAL","7.5MG","","","","TARO PHARMACEUTICAL INDUSTRIES LTD","Nov 7, 2006"
"DISCN","MELOXICAM","MELOXICAM","A077935","001","TABLET","ORAL","7.5MG","","","","TP ANDA HOLDINGS LLC","Jul 19, 2006"
"DISCN","MELOXICAM","MELOXICAM","A077933","001","TABLET","ORAL","7.5MG","","","","YABAO PHARMACEUTICAL CO LTD BEIJING","Jul 19, 2006"
"DISCN","MELOXICAM","MELOXICAM","A077936","002","TABLET","ORAL","15MG","","","","CHARTWELL RX SCIENCES LLC","Jul 19, 2006"
"DISCN","MELOXICAM","MELOXICAM","A078039","002","TABLET","ORAL","15MG","","","","CHINA RESOURCES DOUBLE CRANE PHARMACEUTICAL CO LTD","Dec 14, 2006"
"DISCN","MELOXICAM","MELOXICAM","A077930","002","TABLET","ORAL","15MG","","","","IMPAX LABORATORIES INC","Jul 19, 2006"
"DISCN","MELOXICAM","MELOXICAM","A077944","002","TABLET","ORAL","15MG","","","","LUPIN PHARMACEUTICALS INC","Jul 19, 2006"
"DISCN","MELOXICAM","MELOXICAM","A077934","002","TABLET","ORAL","15MG","","","","MYLAN PHARMACEUTICALS INC","Jul 20, 2006"
"DISCN","MELOXICAM","MELOXICAM","A077923","002","TABLET","ORAL","15MG","","","","NATCO PHARMA LTD","Jul 19, 2006"
"DISCN","MELOXICAM","MELOXICAM","A077925","002","TABLET","ORAL","15MG","","","","ROXANE LABORATORIES INC","Jul 19, 2006"
"DISCN","MELOXICAM","MELOXICAM","A077937","002","TABLET","ORAL","15MG","","","","SUN PHARMACEUTICAL INDUSTRIES INC","Jul 19, 2006"
"DISCN","MELOXICAM","MELOXICAM","A078102","002","TABLET","ORAL","15MG","","","","TARO PHARMACEUTICAL INDUSTRIES LTD","Nov 7, 2006"
"DISCN","MELOXICAM","MELOXICAM","A077935","002","TABLET","ORAL","15MG","","","","TP ANDA HOLDINGS LLC","Jul 19, 2006"
"DISCN","MELOXICAM","MELOXICAM","A077933","002","TABLET","ORAL","15MG","","","","YABAO PHARMACEUTICAL CO LTD BEIJING","Jul 19, 2006"
"DISCN","MELOXICAM","MOBIC","N020938","001","TABLET","ORAL","7.5MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**","","RLD","","BOEHRINGER INGELHEIM PHARMACEUTICALS INC","Apr 13, 2000"
"DISCN","MELOXICAM","MOBIC","N020938","002","TABLET","ORAL","15MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**","","RLD","","BOEHRINGER INGELHEIM PHARMACEUTICALS INC","Aug 23, 2000"
"DISCN","MELOXICAM","QMIIZ ODT","N211210","001","TABLET, ORALLY DISINTEGRATING","ORAL","7.5MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**","","RLD","","TERSERA THERAPEUTICS LLC","Oct 19, 2018"
"DISCN","MELOXICAM","QMIIZ ODT","N211210","002","TABLET, ORALLY DISINTEGRATING","ORAL","15MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**","","RLD","","TERSERA THERAPEUTICS LLC","Oct 19, 2018"
