"Mkt.Status","Active Ingredient","Proprietary Name","Appl. No.","Product Number","Dosage Form","Route","Strength","TE Code","RLD","RS","Applicant Holder","Approval Date"
"RX","ESOMEPRAZOLE MAGNESIUM; NAPROXEN","NAPROXEN AND ESOMEPRAZOLE MAGNESIUM","A213699","001","TABLET, DELAYED RELEASE","ORAL","EQ 20MG BASE; 375MG","AB","","","AJANTA PHARMA LTD","Oct 6, 2022"
"RX","ESOMEPRAZOLE MAGNESIUM; NAPROXEN","NAPROXEN AND ESOMEPRAZOLE MAGNESIUM","A204206","001","TABLET, DELAYED RELEASE","ORAL","EQ 20MG BASE; 375MG","AB","","","DR REDDYS LABORATORIES LTD","Feb 18, 2020"
"RX","ESOMEPRAZOLE MAGNESIUM; NAPROXEN","NAPROXEN AND ESOMEPRAZOLE MAGNESIUM","A217738","001","TABLET, DELAYED RELEASE","ORAL","EQ 20MG BASE; 375MG","AB","","","SCIEGEN PHARMACEUTICALS INC","Oct 11, 2023"
"RX","ESOMEPRAZOLE MAGNESIUM; NAPROXEN","NAPROXEN AND ESOMEPRAZOLE MAGNESIUM","A213699","002","TABLET, DELAYED RELEASE","ORAL","EQ 20MG BASE; 500MG","AB","","","AJANTA PHARMA LTD","Oct 6, 2022"
"RX","ESOMEPRAZOLE MAGNESIUM; NAPROXEN","NAPROXEN AND ESOMEPRAZOLE MAGNESIUM","A204206","002","TABLET, DELAYED RELEASE","ORAL","EQ 20MG BASE; 500MG","AB","","RS","DR REDDYS LABORATORIES LTD","Feb 18, 2020"
"RX","ESOMEPRAZOLE MAGNESIUM; NAPROXEN","NAPROXEN AND ESOMEPRAZOLE MAGNESIUM","A217738","002","TABLET, DELAYED RELEASE","ORAL","EQ 20MG BASE; 500MG","AB","","","SCIEGEN PHARMACEUTICALS INC","Oct 11, 2023"
"RX","NAPROXEN","NAPROSYN","N018965","001","SUSPENSION","ORAL","25MG/ML","AB","RLD","","ATNAHS PHARMA US LTD","Mar 23, 1987"
"RX","NAPROXEN","NAPROXEN","A212705","001","SUSPENSION","ORAL","25MG/ML","AB","","","AMNEAL PHARMACEUTICALS LLC","Jul 31, 2020"
"RX","NAPROXEN","NAPROXEN","A216504","001","SUSPENSION","ORAL","25MG/ML","AB","","","AUROBINDO PHARMA LTD","Oct 3, 2025"
"RX","NAPROXEN","NAPROXEN","A215776","001","SUSPENSION","ORAL","25MG/ML","AB","","","HETERO LABS LTD UNIT III","Jun 7, 2022"
"RX","NAPROXEN","NAPROXEN","A074190","001","SUSPENSION","ORAL","25MG/ML","AB","","RS","HIKMA PHARMACEUTICALS USA INC","Mar 30, 1994"
"RX","NAPROXEN","NAPROXEN","A211910","001","SUSPENSION","ORAL","25MG/ML","AB","","","NOVITIUM PHARMA LLC","Mar 10, 2021"
"RX","NAPROXEN","NAPROSYN","N017581","004","TABLET","ORAL","500MG","AB","RLD","RS","ATNAHS PHARMA US LTD","Apr 15, 1982"
"RX","NAPROXEN","NAPROXEN","A091416","001","TABLET","ORAL","250MG","AB","","","ADAPTIS PHARMA PRIVATE LTD","Feb 14, 2011"
"RX","NAPROXEN","NAPROXEN","A075927","001","TABLET","ORAL","250MG","AB","","","AMNEAL PHARMACEUTICALS NY LLC","Dec 18, 2001"
"RX","NAPROXEN","NAPROXEN","A200429","001","TABLET","ORAL","250MG","AB","","","AUROBINDO PHARMA LTD","Nov 8, 2011"
"RX","NAPROXEN","NAPROXEN","A078250","001","TABLET","ORAL","250MG","AB","","","GLENMARK PHARMACEUTICALS LTD","Mar 28, 2007"
"RX","NAPROXEN","NAPROXEN","A074140","001","TABLET","ORAL","250MG","AB","","","GRANULES INDIA LTD","Dec 21, 1993"
"RX","NAPROXEN","NAPROXEN","A212517","001","TABLET","ORAL","250MG","AB","","","SCIEGEN PHARMACEUTICALS INC","Feb 21, 2020"
