"Mkt.Status","Active Ingredient","Proprietary Name","Appl. No.","Product Number","Dosage Form","Route","Strength","TE Code","RLD","RS","Applicant Holder","Approval Date"
"RX","ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE","TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN","A202076","001","TABLET","ORAL","325MG; 37.5MG","AB","","","ALKEM LABORATORIES LTD","Mar 30, 2012"
"RX","ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE","TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN","A090485","001","TABLET","ORAL","325MG; 37.5MG","AB","","RS","AMNEAL PHARMACEUTICALS","Dec 9, 2009"
"RX","ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE","TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN","A207152","001","TABLET","ORAL","325MG; 37.5MG","AB","","","AUROBINDO PHARMA LTD","Mar 22, 2017"
"RX","ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE","TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN","A201952","001","TABLET","ORAL","325MG; 37.5MG","AB","","","MICRO LABS LTD INDIA","Dec 14, 2012"
"RX","ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE","TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN","A077858","001","TABLET","ORAL","325MG; 37.5MG","AB","","","RISING PHARMA HOLDING INC","Sep 26, 2008"
"RX","ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE","TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN","A090460","001","TABLET","ORAL","325MG; 37.5MG","AB","","","ZYDUS PHARMACEUTICALS USA INC","Sep 6, 2012"
"RX","TRAMADOL HYDROCHLORIDE","CONZIP","N022370","001","CAPSULE, EXTENDED RELEASE","ORAL","100MG","","RLD","RS","CIPHER PHARMACEUTICALS INC","May 7, 2010"
"RX","TRAMADOL HYDROCHLORIDE","CONZIP","N022370","002","CAPSULE, EXTENDED RELEASE","ORAL","200MG","","RLD","","CIPHER PHARMACEUTICALS INC","May 7, 2010"
"RX","TRAMADOL HYDROCHLORIDE","CONZIP","N022370","003","CAPSULE, EXTENDED RELEASE","ORAL","300MG","","RLD","","CIPHER PHARMACEUTICALS INC","May 7, 2010"
"RX","TRAMADOL HYDROCHLORIDE","TRAMADOL HYDROCHLORIDE","A208708","003","TABLET","ORAL","25MG","","","","RUBICON RESEARCH LTD","Nov 27, 2023"
"RX","TRAMADOL HYDROCHLORIDE","TRAMADOL HYDROCHLORIDE","A076003","001","TABLET","ORAL","50MG","AB","","","AMNEAL PHARMACEUTICALS OF NEW YORK LLC","Jun 20, 2002"
"RX","TRAMADOL HYDROCHLORIDE","TRAMADOL HYDROCHLORIDE","A203494","001","TABLET","ORAL","50MG","AB","","","AUROBINDO PHARMA LTD","Mar 31, 2014"
"RX","TRAMADOL HYDROCHLORIDE","TRAMADOL HYDROCHLORIDE","A091498","001","TABLET","ORAL","50MG","AB","","","CSPC OUYI PHARMACEUTICAL CO LTD","Mar 29, 2013"
"RX","TRAMADOL HYDROCHLORIDE","TRAMADOL HYDROCHLORIDE","A075968","001","TABLET","ORAL","50MG","AB","","","GRAVITI PHARMACEUTICALS PRIVATE LTD","Jun 25, 2002"
"RX","TRAMADOL HYDROCHLORIDE","TRAMADOL HYDROCHLORIDE","A208708","001","TABLET","ORAL","50MG","AB","","","RUBICON RESEARCH LTD","Jun 28, 2019"
"RX","TRAMADOL HYDROCHLORIDE","TRAMADOL HYDROCHLORIDE","A090404","001","TABLET","ORAL","50MG","AB","","","SENORES PHARMACEUTICALS INC","Jan 31, 2011"
"RX","TRAMADOL HYDROCHLORIDE","TRAMADOL HYDROCHLORIDE","A202075","001","TABLET","ORAL","50MG","AB","","","STRIDES PHARMA GLOBAL PTE LTD","Nov 28, 2011"
"RX","TRAMADOL HYDROCHLORIDE","TRAMADOL HYDROCHLORIDE","A075964","001","TABLET","ORAL","50MG","AB","","","SUN PHARMACEUTICAL INDUSTRIES INC","Jun 19, 2002"
"RX","TRAMADOL HYDROCHLORIDE","TRAMADOL HYDROCHLORIDE","A075977","001","TABLET","ORAL","50MG","AB","","","TEVA PHARMACEUTICALS USA INC","Jun 19, 2002"
"RX","TRAMADOL HYDROCHLORIDE","TRAMADOL HYDROCHLORIDE","A211825","001","TABLET","ORAL","50MG","AB","","","UNICHEM LABORATORIES LTD","Aug 9, 2019"
"RX","TRAMADOL HYDROCHLORIDE","TRAMADOL HYDROCHLORIDE","A208708","004","TABLET","ORAL","75MG","","","","RUBICON RESEARCH LTD","Apr 4, 2024"
"RX","TRAMADOL HYDROCHLORIDE","TRAMADOL HYDROCHLORIDE","A075968","002","TABLET","ORAL","100MG","AB","","","GRAVITI PHARMACEUTICALS PRIVATE LTD","Aug 2, 2024"
"RX","TRAMADOL HYDROCHLORIDE","TRAMADOL HYDROCHLORIDE","A208708","002","TABLET","ORAL","100MG","AB","","RS","RUBICON RESEARCH LTD","Jun 28, 2019"
"RX","TRAMADOL HYDROCHLORIDE","TRAMADOL HYDROCHLORIDE","A200503","001","TABLET, EXTENDED RELEASE","ORAL","100MG","AB1","","RS","LUPIN LTD","Aug 29, 2011"
"RX","TRAMADOL HYDROCHLORIDE","TRAMADOL HYDROCHLORIDE","A209404","001","TABLET, EXTENDED RELEASE","ORAL","100MG","AB1","","","MACLEODS PHARMACEUTICALS LTD","Jan 31, 2025"
