Active ingredients,Dosage Form,Route,Strength,Brand name,Applicant Holder,Approval Date
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,30MG; 600MG,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,ACTAVIS LABORATORIES FL INC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC,"Aug 31, 2015"
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,30MG; 600MG,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,AMNEAL PHARMACEUTICALS OF NEW YORK LLC,"Nov 1, 2018"
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,30MG; 600MG,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,AUROBINDO PHARMA LTD,"Mar 17, 2017"
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,30MG; 600MG,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,DR REDDYS LABORATORIES LTD,"Aug 1, 2023"
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,30MG; 600MG,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,PERRIGO R AND D CO,"Mar 5, 2018"
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,30MG; 600MG,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,SUN PHARMACEUTICAL INDUSTRIES LTD,"Jul 1, 2021"
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,60MG; 1.2GM,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,ACTAVIS LABORATORIES FL INC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC,"Aug 31, 2015"
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,60MG; 1.2GM,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,AMNEAL PHARMACEUTICALS OF NEW YORK LLC,"Nov 1, 2018"
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,60MG; 1.2GM,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,DR REDDYS LABORATORIES LTD,"Aug 1, 2023"
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,60MG; 1.2GM,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,PERRIGO R AND D CO,"Mar 5, 2018"
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,60MG; 1.2GM,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,SUN PHARMACEUTICAL INDUSTRIES LTD,"Jul 1, 2021"
