Active ingredients,Dosage Form,Route,Strength,Brand name,Applicant Holder,Approval Date,group_key
ASPIRIN; METHOCARBAMOL,TABLET,ORAL,325MG; 400MG,METHOCARBAMOL AND ASPIRIN,JEROME STEVENS PHARMACEUTICALS INC,"Jan 31, 1995",ASPIRIN; METHOCARBAMOL||325MG; 400MG||TABLET||ORAL
ASPIRIN; BUTALBITAL; CAFFEINE,CAPSULE,ORAL,325MG; 50MG; 40MG,"BUTALBITAL, ASPIRIN AND CAFFEINE",WATSON LABORATORIES INC,"Feb 12, 1985",ASPIRIN; BUTALBITAL; CAFFEINE||325MG; 50MG; 40MG||CAPSULE||ORAL
ASPIRIN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,CAPSULE,ORAL,325MG; 50MG; 40MG; 30MG,"BUTALBITAL, ASPIRIN, CAFFEINE, AND CODEINE PHOSPHATE",DR REDDYS LABORATORIES SA,"Oct 30, 2015",ASPIRIN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE||325MG; 50MG; 40MG; 30MG||CAPSULE||ORAL
ASPIRIN; BUTALBITAL; CAFFEINE,TABLET,ORAL,325MG; 50MG; 40MG,"BUTALBITAL, ASPIRIN AND CAFFEINE",HALSEY DRUG CO INC,"Dec 1, 1986",ASPIRIN; BUTALBITAL; CAFFEINE||325MG; 50MG; 40MG||TABLET||ORAL
ASPIRIN; OXYCODONE HYDROCHLORIDE,TABLET,ORAL,325MG; 4.8355MG,PERCODAN,ENDO OPERATIONS LTD,"Aug 5, 2005",ASPIRIN; OXYCODONE HYDROCHLORIDE||325MG; 4.8355MG||TABLET||ORAL
ASPIRIN; CAFFEINE; PROPOXYPHENE HYDROCHLORIDE,CAPSULE,ORAL,389MG; 32.4MG; 65MG,COMPOUND 65,ALRA LABORATORIES INC,"Aug 17, 1983",ASPIRIN; CAFFEINE; PROPOXYPHENE HYDROCHLORIDE||389MG; 32.4MG; 65MG||CAPSULE||ORAL
ASPIRIN; PRAVASTATIN SODIUM,TABLET,ORAL,81MG; 20MG,PRAVIGARD PAC (COPACKAGED),BRISTOL MYERS SQUIBB CO,"Jun 24, 2003",ASPIRIN; PRAVASTATIN SODIUM||81MG; 20MG||TABLET||ORAL
ASPIRIN; HYDROCODONE BITARTRATE,TABLET,ORAL,500MG; 5MG,VICOPRIN,ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,"Sep 14, 1983",ASPIRIN; HYDROCODONE BITARTRATE||500MG; 5MG||TABLET||ORAL
ASPIRIN; MEPROBAMATE,TABLET,ORAL,325MG; 200MG,EQUAGESIC,SUN PHARMACEUTICAL INDUSTRIES INC,"Dec 29, 1983",ASPIRIN; MEPROBAMATE||325MG; 200MG||TABLET||ORAL
ACETAMINOPHEN; ASPIRIN; CAFFEINE,TABLET,ORAL,250MG; 250MG; 65MG,EXCEDRIN (MIGRAINE RELIEF),HALEON US HOLDINGS LLC,"Jan 14, 1998",ACETAMINOPHEN; ASPIRIN; CAFFEINE||250MG; 250MG; 65MG||TABLET||ORAL
ASPIRIN; BUTALBITAL; CAFFEINE,TABLET,ORAL,325MG; 50MG; 40MG,"BUTALBITAL, ASPIRIN AND CAFFEINE",PURACAP PHARMACEUTICAL LLC,"Dec 9, 1983",ASPIRIN; BUTALBITAL; CAFFEINE||325MG; 50MG; 40MG||TABLET||ORAL
ASPIRIN; PROPOXYPHENE HYDROCHLORIDE,CAPSULE,ORAL,325MG; 65MG,DARVON W/ ASA,XANODYNE PHARMACEUTICS INC,"Approved Prior to Jan 1, 1982",ASPIRIN; PROPOXYPHENE HYDROCHLORIDE||325MG; 65MG||CAPSULE||ORAL
ASPIRIN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,CAPSULE,ORAL,325MG; 50MG; 40MG; 30MG,"BUTALBITAL, ASPIRIN, CAFFEINE, AND CODEINE PHOSPHATE",JEROME STEVENS PHARMACEUTICALS INC,"Aug 31, 1998",ASPIRIN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE||325MG; 50MG; 40MG; 30MG||CAPSULE||ORAL
ASPIRIN; MEPROBAMATE,TABLET,ORAL,325MG; 200MG,EQUAGESIC,SUN PHARMACEUTICAL INDUSTRIES INC,"Dec 29, 1983",ASPIRIN; MEPROBAMATE||325MG; 200MG||TABLET||ORAL
ACETAMINOPHEN; ASPIRIN; CODEINE PHOSPHATE,CAPSULE,ORAL,150MG; 180MG; 30MG,"ACETAMINOPHEN, ASPIRIN, AND CODEINE PHOSPHATE",MIKART LLC,"Oct 26, 1990",ACETAMINOPHEN; ASPIRIN; CODEINE PHOSPHATE||150MG; 180MG; 30MG||CAPSULE||ORAL
ASPIRIN; DIPYRIDAMOLE,"CAPSULE, EXTENDED RELEASE",ORAL,25MG; 200MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,AGGRENOX,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,"Nov 22, 1999","ASPIRIN; DIPYRIDAMOLE||25MG; 200MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||CAPSULE, EXTENDED RELEASE||ORAL"
ACETAMINOPHEN; ASPIRIN; CAFFEINE,TABLET,ORAL,250MG; 250MG; 65MG,"ACETAMINOPHEN, ASPIRIN AND CAFFEINE",L PERRIGO CO,"Nov 26, 2001",ACETAMINOPHEN; ASPIRIN; CAFFEINE||250MG; 250MG; 65MG||TABLET||ORAL
ASPIRIN; CAFFEINE; ORPHENADRINE CITRATE,TABLET,ORAL,385MG; 30MG; 25MG,INVAGESIC,CHARTWELL RX SCIENCES LLC,"Nov 27, 1996",ASPIRIN; CAFFEINE; ORPHENADRINE CITRATE||385MG; 30MG; 25MG||TABLET||ORAL
ASPIRIN; PRAVASTATIN SODIUM,TABLET,ORAL,325MG; 40MG,PRAVIGARD PAC (COPACKAGED),BRISTOL MYERS SQUIBB CO,"Jun 24, 2003",ASPIRIN; PRAVASTATIN SODIUM||325MG; 40MG||TABLET||ORAL
ASPIRIN; BUTALBITAL; CAFFEINE,TABLET,ORAL,325MG; 50MG; 40MG,"BUTALBITAL, ASPIRIN AND CAFFEINE",STRIDES PHARMA GLOBAL PTE LTD,"Sep 22, 2016",ASPIRIN; BUTALBITAL; CAFFEINE||325MG; 50MG; 40MG||TABLET||ORAL
ASPIRIN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE,TABLET,ORAL,325MG; 4.5MG; 0.38MG,CODOXY,HALSEY DRUG CO INC,"Jul 1, 1982",ASPIRIN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE||325MG; 4.5MG; 0.38MG||TABLET||ORAL
ASPIRIN; PRAVASTATIN SODIUM,TABLET,ORAL,325MG; 80MG,PRAVIGARD PAC (COPACKAGED),BRISTOL MYERS SQUIBB CO,"Jun 24, 2003",ASPIRIN; PRAVASTATIN SODIUM||325MG; 80MG||TABLET||ORAL
ASPIRIN; CARISOPRODOL,TABLET,ORAL,325MG; 200MG,CARISOPRODOL AND ASPIRIN,NOVAST LABORATORIES LTD,"Jan 7, 2010",ASPIRIN; CARISOPRODOL||325MG; 200MG||TABLET||ORAL
