Active ingredients,Dosage Form,Route,Strength,Brand name,Applicant Holder,Approval Date,group_key,strength_normalized,dosage_range,frequency,population
ASPIRIN; CARISOPRODOL,TABLET,ORAL,325MG; 200MG,CARISOPRODOL AND ASPIRIN,CHARTWELL RX SCIENCES LLC,"Mar 31, 1989",ASPIRIN; CARISOPRODOL||325MG; 200MG||TABLET||ORAL,325 mg; 200 mg,adult: 1 tablet per dose,QID,adult
ASPIRIN; MEPROBAMATE,TABLET,ORAL,325MG; 200MG,Q-GESIC,QUANTUM PHARMICS LTD,"Jun 1, 1984",ASPIRIN; MEPROBAMATE||325MG; 200MG||TABLET||ORAL,325 mg; 200 mg,adult: 1 tablet per dose,TID-QID PRN,adult
ASPIRIN; CAFFEINE; PROPOXYPHENE HYDROCHLORIDE,CAPSULE,ORAL,389MG; 32.4MG; 65MG,DARVON COMPOUND-65,XANODYNE PHARMACEUTICS INC,"Mar 8, 1983",ASPIRIN; CAFFEINE; PROPOXYPHENE HYDROCHLORIDE||389MG; 32.4MG; 65MG||CAPSULE||ORAL,389 mg; 32.4 mg; 65 mg,adult: 1-2 capsules/tablets per dose,q4h PRN,adult
ASPIRIN; DIPYRIDAMOLE,"CAPSULE, EXTENDED RELEASE",ORAL,25MG; 200MG,ASPIRIN AND DIPYRIDAMOLE,GLENMARK SPECIALTY SA,"May 24, 2019","ASPIRIN; DIPYRIDAMOLE||25MG; 200MG||CAPSULE, EXTENDED RELEASE||ORAL",25 mg; 200 mg,adult: 1 capsule per dose,BID,adult
ASPIRIN; DIPYRIDAMOLE,"CAPSULE, EXTENDED RELEASE",ORAL,25MG; 200MG,ASPIRIN AND DIPYRIDAMOLE,MICRO LABS LTD,"Aug 11, 2021","ASPIRIN; DIPYRIDAMOLE||25MG; 200MG||CAPSULE, EXTENDED RELEASE||ORAL",25 mg; 200 mg,adult: 1 capsule per dose,BID,adult
ASPIRIN; PRAVASTATIN SODIUM,TABLET,ORAL,81MG; 40MG,PRAVIGARD PAC (COPACKAGED),BRISTOL MYERS SQUIBB CO,"Jun 24, 2003",ASPIRIN; PRAVASTATIN SODIUM||81MG; 40MG||TABLET||ORAL,81 mg; 40 mg,adult: 1 packet/tablet daily,daily,adult
ASPIRIN; DIPYRIDAMOLE,"CAPSULE, EXTENDED RELEASE",ORAL,25MG; 200MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,AGGRENOX,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,"Nov 22, 1999","ASPIRIN; DIPYRIDAMOLE||25MG; 200MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||CAPSULE, EXTENDED RELEASE||ORAL",25 mg; 200 mg,adult: 1 capsule per dose,BID,adult
ASPIRIN; METHOCARBAMOL,TABLET,ORAL,325MG; 400MG,METHOCARBAMOL AND ASPIRIN,PAR PHARMACEUTICAL INC,"Nov 4, 1988",ASPIRIN; METHOCARBAMOL||325MG; 400MG||TABLET||ORAL,325 mg; 400 mg,adult: 1-2 tablets per dose,q6-8h PRN,adult
ASPIRIN; OMEPRAZOLE,"TABLET, DELAYED RELEASE",ORAL,325MG; 40MG,YOSPRALA,GENUS LIFE SCIENCES INC,"Sep 14, 2016","ASPIRIN; OMEPRAZOLE||325MG; 40MG||TABLET, DELAYED RELEASE||ORAL",325 mg; 40 mg,adult: 1 tablet daily,daily,adult
ASPIRIN; OXYCODONE HYDROCHLORIDE,TABLET,ORAL,325MG; 4.8355MG,OXYCODONE AND ASPIRIN,EPIC PHARMA LLC,"Jul 16, 2020",ASPIRIN; OXYCODONE HYDROCHLORIDE||325MG; 4.8355MG||TABLET||ORAL,325 mg; 4.8355 mg,adult: 1 tablet per dose,q6h PRN,adult
