"Mkt.Status","Active Ingredient","Proprietary Name","Appl. No.","Product Number","Dosage Form","Route","Strength","TE Code","RLD","RS","Applicant Holder","Approval Date"
"RX","ASPIRIN; BUTALBITAL; CAFFEINE","BUTALBITAL, ASPIRIN AND CAFFEINE","A078149","001","CAPSULE","ORAL","325MG; 50MG; 40MG","AA","","","MPP PHARMA LLC","Jun 13, 2007"
"RX","ASPIRIN; BUTALBITAL; CAFFEINE","LANORINAL","A086996","002","CAPSULE","ORAL","325MG; 50MG; 40MG","AA","","RS","SANDOZ INC","Oct 11, 1985"
"RX","ASPIRIN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE","BUTALBITAL, ASPIRIN, CAFFEINE, AND CODEINE PHOSPHATE","A074951","001","CAPSULE","ORAL","325MG; 50MG; 40MG; 30MG","AB","","RS","JEROME STEVENS PHARMACEUTICALS INC","Aug 31, 1998"
"RX","ASPIRIN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE","BUTALBITAL, ASPIRIN, CAFFEINE, AND CODEINE PHOSPHATE","A075231","001","CAPSULE","ORAL","325MG; 50MG; 40MG; 30MG","AB","","","LGM PHARMA SOLUTIONS LLC","Nov 30, 2001"
"RX","ASPIRIN; CAFFEINE; ORPHENADRINE CITRATE","ORPHENGESIC","A075141","001","TABLET","ORAL","385MG; 30MG; 25MG","","","","GALT PHARMACEUTICALS LLC","May 29, 1998"
"RX","ASPIRIN; CAFFEINE; ORPHENADRINE CITRATE","ORPHENGESIC FORTE","A075141","002","TABLET","ORAL","770MG; 60MG; 50MG","","","RS","GALT PHARMACEUTICALS LLC","May 29, 1998"
"RX","ASPIRIN; DIPYRIDAMOLE","ASPIRIN AND DIPYRIDAMOLE","A206392","001","CAPSULE, EXTENDED RELEASE","ORAL","25MG; 200MG","AB","","","AMNEAL PHARMACEUTICALS OF NEW YORK LLC","Mar 8, 2016"
"RX","ASPIRIN; DIPYRIDAMOLE","ASPIRIN AND DIPYRIDAMOLE","A078804","001","CAPSULE, EXTENDED RELEASE","ORAL","25MG; 200MG","AB","","","BARR LABORATORIES INC","Aug 14, 2009"
"RX","ASPIRIN; DIPYRIDAMOLE","ASPIRIN AND DIPYRIDAMOLE","A209048","001","CAPSULE, EXTENDED RELEASE","ORAL","25MG; 200MG","AB","","","DR REDDYS LABORATORIES LTD","Oct 10, 2018"
"RX","ASPIRIN; DIPYRIDAMOLE","ASPIRIN AND DIPYRIDAMOLE","A210318","001","CAPSULE, EXTENDED RELEASE","ORAL","25MG; 200MG","AB","","RS","GLENMARK SPECIALTY SA","May 24, 2019"
"RX","ASPIRIN; DIPYRIDAMOLE","ASPIRIN AND DIPYRIDAMOLE","A209929","001","CAPSULE, EXTENDED RELEASE","ORAL","25MG; 200MG","AB","","","MICRO LABS LTD","Aug 11, 2021"
"RX","ASPIRIN; DIPYRIDAMOLE","ASPIRIN AND DIPYRIDAMOLE","A207944","001","CAPSULE, EXTENDED RELEASE","ORAL","25MG; 200MG","AB","","","PH HEALTH LTD","Jan 18, 2017"
"RX","ASPIRIN; DIPYRIDAMOLE","ASPIRIN AND DIPYRIDAMOLE","A206739","001","CAPSULE, EXTENDED RELEASE","ORAL","25MG; 200MG","AB","","","SANDOZ INC","Jan 18, 2017"
"RX","ASPIRIN; DIPYRIDAMOLE","ASPIRIN AND DIPYRIDAMOLE","A206753","001","CAPSULE, EXTENDED RELEASE","ORAL","25MG; 200MG","AB","","","ZYDUS PHARMACEUTICALS USA INC","Aug 29, 2017"
"RX","ASPIRIN; HYDROCODONE BITARTRATE","HYDROCODONE BITARTRATE AND ASPIRIN","A205479","001","TABLET","ORAL","500MG; 5MG","","","RS","LGM PHARMA SOLUTIONS LLC","May 28, 2021"
"RX","ASPIRIN; OXYCODONE HYDROCHLORIDE","OXYCODONE AND ASPIRIN","A040910","001","TABLET","ORAL","325MG; 4.8355MG","AA","","","EPIC PHARMA LLC","Jul 16, 2020"
"RX","ASPIRIN; OXYCODONE HYDROCHLORIDE","PERCODAN","N007337","007","TABLET","ORAL","325MG; 4.8355MG","AA","RLD","RS","ENDO OPERATIONS LTD","Aug 5, 2005"
"OTC","ACETAMINOPHEN; ASPIRIN; CAFFEINE","ACETAMINOPHEN, ASPIRIN AND CAFFEINE","A211695","001","TABLET","ORAL","250MG; 250MG; 65MG","","","","AUROBINDO PHARMA LTD","Feb 2, 2022"
"OTC","ACETAMINOPHEN; ASPIRIN; CAFFEINE","ACETAMINOPHEN, ASPIRIN AND CAFFEINE","A214039","001","TABLET","ORAL","250MG; 250MG; 65MG","","","","GRANULES INDIA LTD","Feb 23, 2021"
"OTC","ACETAMINOPHEN; ASPIRIN; CAFFEINE","ACETAMINOPHEN, ASPIRIN AND CAFFEINE","A075794","001","TABLET","ORAL","250MG; 250MG; 65MG","","","","L PERRIGO CO","Nov 26, 2001"
"OTC","ACETAMINOPHEN; ASPIRIN; CAFFEINE","EXCEDRIN (MIGRAINE RELIEF)","N020802","001","TABLET","ORAL","250MG; 250MG; 65MG","","RLD","RS","HALEON US HOLDINGS LLC","Jan 14, 1998"
"OTC","ASPIRIN","VAZALORE","N203697","002","CAPSULE","ORAL","81MG","","RLD","","PLX PHARMA INC","Feb 26, 2021"
"OTC","ASPIRIN","VAZALORE","N203697","001","CAPSULE","ORAL","325MG","","RLD","RS","PLX PHARMA INC","Jan 14, 2013"
"DISCN","ACETAMINOPHEN; ASPIRIN; CODEINE PHOSPHATE","ACETAMINOPHEN, ASPIRIN, AND CODEINE PHOSPHATE","A081095","001","CAPSULE","ORAL","150MG; 180MG; 15MG","","","","MIKART LLC","Oct 26, 1990"
"DISCN","ACETAMINOPHEN; ASPIRIN; CODEINE PHOSPHATE","ACETAMINOPHEN, ASPIRIN, AND CODEINE PHOSPHATE","A081096","001","CAPSULE","ORAL","150MG; 180MG; 30MG","","","","MIKART LLC","Oct 26, 1990"
"DISCN","ACETAMINOPHEN; ASPIRIN; CODEINE PHOSPHATE","ACETAMINOPHEN, ASPIRIN, AND CODEINE PHOSPHATE","A081097","001","CAPSULE","ORAL","150MG; 180MG; 60MG","","","","MIKART LLC","Oct 26, 1990"
"DISCN","ACETAMINOPHEN; ASPIRIN; CODEINE PHOSPHATE","CODEINE, ASPIRIN, APAP FORMULA NO. 2","A085640","001","CAPSULE","ORAL","150MG; 180MG; 15MG","","RLD","","SCHERER LABORATORIES INC","Approved Prior to Jan 1, 1982"
"DISCN","ACETAMINOPHEN; ASPIRIN; CODEINE PHOSPHATE","CODEINE, ASPIRIN, APAP FORMULA NO. 3","A085639","001","CAPSULE","ORAL","150MG; 180MG; 30MG","","RLD","","SCHERER LABORATORIES INC","Approved Prior to Jan 1, 1982"
"DISCN","ACETAMINOPHEN; ASPIRIN; CODEINE PHOSPHATE","CODEINE, ASPIRIN, APAP FORMULA NO. 4","A085638","001","CAPSULE","ORAL","150MG; 180MG; 60MG","","","","SCHERER LABORATORIES INC","Approved Prior to Jan 1, 1982"
"DISCN","ASPIRIN","DURLAZA","N200671","001","CAPSULE, EXTENDED RELEASE","ORAL","162.5MG","","RLD","","HESP LLC","Sep 4, 2015"
"DISCN","ASPIRIN","BAYER EXTRA STRENGTH ASPIRIN FOR MIGRAINE PAIN","N021317","001","TABLET","ORAL","500MG","","","","BAYER HEALTHCARE LLC","Oct 18, 2001"
"DISCN","ASPIRIN","8-HOUR BAYER","N016030","001","TABLET, EXTENDED RELEASE","ORAL","650MG","","","","BAYER HEALTHCARE LLC","Approved Prior to Jan 1, 1982"
"DISCN","ASPIRIN","MEASURIN","N016030","002","TABLET, EXTENDED RELEASE","ORAL","650MG","","","","BAYER HEALTHCARE LLC","Approved Prior to Jan 1, 1982"
"DISCN","ASPIRIN; BUTALBITAL","AXOTAL","A088305","001","TABLET","ORAL","650MG; 50MG","","","","SAVAGE LABORATORIES INC DIV ALTANA INC","Oct 13, 1983"
"DISCN","ASPIRIN; BUTALBITAL; CAFFEINE","BUTALBITAL, ASPIRIN AND CAFFEINE","A086231","002","CAPSULE","ORAL","325MG; 50MG; 40MG","","","","WATSON LABORATORIES INC","Feb 12, 1985"
"DISCN","ASPIRIN; BUTALBITAL; CAFFEINE","BUTALBITAL, ASPIRIN AND CAFFEINE","A205230","001","CAPSULE","ORAL","500MG; 50MG; 40MG","","","","LGM PHARMA SOLUTIONS LLC","Oct 18, 2021"
"DISCN","ASPIRIN; BUTALBITAL; CAFFEINE","FIORINAL","N017534","005","CAPSULE","ORAL","325MG; 50MG; 40MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**","","RLD","","ALLERGAN SALES LLC","Apr 16, 1986"
"DISCN","ASPIRIN; BUTALBITAL; CAFFEINE","BUTALBITAL, ASPIRIN AND CAFFEINE","A086710","002","TABLET","ORAL","325MG; 50MG; 40MG","","","","ACTAVIS ELIZABETH LLC","Aug 23, 1983"
"DISCN","ASPIRIN; BUTALBITAL; CAFFEINE","BUTALBITAL, ASPIRIN AND CAFFEINE","A086398","002","TABLET","ORAL","325MG; 50MG; 40MG","","","","FOSUN PHARMA USA INC","Apr 6, 1984"
"DISCN","ASPIRIN; BUTALBITAL; CAFFEINE","BUTALBITAL, ASPIRIN AND CAFFEINE","A089448","001","TABLET","ORAL","325MG; 50MG; 40MG","","","","HALSEY DRUG CO INC","Dec 1, 1986"
"DISCN","ASPIRIN; BUTALBITAL; CAFFEINE","BUTALBITAL, ASPIRIN AND CAFFEINE","A086162","002","TABLET","ORAL","325MG; 50MG; 40MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**","","RLD","","HIKMA INTERNATIONAL PHARMACEUTICALS LLC","Feb 16, 1984"
