"Mkt.Status","Active Ingredient","Proprietary Name","Appl. No.","Product Number","Dosage Form","Route","Strength","TE Code","RLD","RS","Applicant Holder","Approval Date"
"RX","CELECOXIB","CELEBREX","N020998","004","CAPSULE","ORAL","50MG","AB","RLD","","UPJOHN US 2 LLC","Dec 15, 2006"
"RX","CELECOXIB","CELEBREX","N020998","001","CAPSULE","ORAL","100MG","AB","RLD","","UPJOHN US 2 LLC","Dec 31, 1998"
"RX","CELECOXIB","CELEBREX","N020998","002","CAPSULE","ORAL","200MG","AB","RLD","","UPJOHN US 2 LLC","Dec 31, 1998"
"RX","CELECOXIB","CELEBREX","N020998","003","CAPSULE","ORAL","400MG","AB","RLD","RS","UPJOHN US 2 LLC","Aug 29, 2002"
"RX","CELECOXIB","CELECOXIB","A204519","001","CAPSULE","ORAL","50MG","AB","","","ALEMBIC PHARMACEUTICALS LTD","Aug 21, 2015"
"RX","CELECOXIB","CELECOXIB","A204197","001","CAPSULE","ORAL","50MG","AB","","","APOTEX INC","Jun 2, 2015"
"RX","CELECOXIB","CELECOXIB","A206827","001","CAPSULE","ORAL","50MG","AB","","","AUROBINDO PHARMA LTD","Feb 1, 2016"
"RX","CELECOXIB","CELECOXIB","A208701","001","CAPSULE","ORAL","50MG","AB","","","CADILA PHARMACEUTICALS LTD","Nov 14, 2019"
"RX","CELECOXIB","CELECOXIB","A207446","001","CAPSULE","ORAL","50MG","AB","","","CIPLA LTD","Sep 23, 2015"
"RX","CELECOXIB","CELECOXIB","A210071","001","CAPSULE","ORAL","50MG","AB","","","CSPC OUYI PHARMACEUTICAL CO LTD","Jan 23, 2018"
"RX","CELECOXIB","CELECOXIB","A202240","001","CAPSULE","ORAL","50MG","AB","","","LUPIN LTD","Oct 29, 2014"
"RX","CELECOXIB","CELECOXIB","A204590","001","CAPSULE","ORAL","50MG","AB","","","MACLEODS PHARMACEUTICALS LTD","Mar 16, 2016"
"RX","CELECOXIB","CELECOXIB","A204776","001","CAPSULE","ORAL","50MG","AB","","","MICRO LABS LTD","Apr 30, 2018"
"RX","CELECOXIB","CELECOXIB","A208856","001","CAPSULE","ORAL","50MG","AB","","","QINGDAO BAHEAL PHARMACEUTICAL CO LTD","Aug 7, 2019"
"RX","CELECOXIB","CELECOXIB","A205129","001","CAPSULE","ORAL","50MG","AB","","","SCIEGEN PHARMACEUTICALS INC","Dec 3, 2020"
"RX","CELECOXIB","CELECOXIB","A076898","001","CAPSULE","ORAL","50MG","AB","","","TEVA PHARMACEUTICALS USA INC","May 30, 2014"
"RX","CELECOXIB","CELECOXIB","A207872","001","CAPSULE","ORAL","50MG","AB","","","TIANJIN TIANYAO PHARMACEUTICALS CO LTD","Feb 25, 2020"
"RX","CELECOXIB","CELECOXIB","A207677","001","CAPSULE","ORAL","50MG","AB","","","TORRENT PHARMACEUTICALS LTD","Dec 23, 2015"
"RX","CELECOXIB","CELECOXIB","A210628","001","CAPSULE","ORAL","50MG","AB","","","UMEDICA LABORATORIES PRIVATE LTD","Nov 27, 2019"
"RX","CELECOXIB","CELECOXIB","A200562","001","CAPSULE","ORAL","50MG","AB","","","WATSON LABORATORIES INC","Feb 11, 2015"
"RX","CELECOXIB","CELECOXIB","A211412","001","CAPSULE","ORAL","50MG","AB","","","YILING PHARMACEUTICAL LTD","Mar 6, 2020"
"RX","CELECOXIB","CELECOXIB","A204519","002","CAPSULE","ORAL","100MG","AB","","","ALEMBIC PHARMACEUTICALS LTD","Aug 21, 2015"
"RX","CELECOXIB","CELECOXIB","A204197","002","CAPSULE","ORAL","100MG","AB","","","APOTEX INC","Jun 2, 2015"
"RX","CELECOXIB","CELECOXIB","A206827","002","CAPSULE","ORAL","100MG","AB","","","AUROBINDO PHARMA LTD","Feb 1, 2016"
"RX","CELECOXIB","CELECOXIB","A208701","002","CAPSULE","ORAL","100MG","AB","","","CADILA PHARMACEUTICALS LTD","Nov 14, 2019"
"RX","CELECOXIB","CELECOXIB","A207446","002","CAPSULE","ORAL","100MG","AB","","","CIPLA LTD","Sep 23, 2015"
"RX","CELECOXIB","CELECOXIB","A210071","002","CAPSULE","ORAL","100MG","AB","","","CSPC OUYI PHARMACEUTICAL CO LTD","Jan 23, 2018"
"RX","CELECOXIB","CELECOXIB","A202240","002","CAPSULE","ORAL","100MG","AB","","","LUPIN LTD","Jun 9, 2015"
"RX","CELECOXIB","CELECOXIB","A204590","002","CAPSULE","ORAL","100MG","AB","","","MACLEODS PHARMACEUTICALS LTD","Mar 16, 2016"
"RX","CELECOXIB","CELECOXIB","A204776","002","CAPSULE","ORAL","100MG","AB","","","MICRO LABS LTD","Apr 30, 2018"
"RX","CELECOXIB","CELECOXIB","A208856","002","CAPSULE","ORAL","100MG","AB","","","QINGDAO BAHEAL PHARMACEUTICAL CO LTD","Aug 7, 2019"
"RX","CELECOXIB","CELECOXIB","A205129","002","CAPSULE","ORAL","100MG","AB","","","SCIEGEN PHARMACEUTICALS INC","Dec 3, 2020"
"RX","CELECOXIB","CELECOXIB","A076898","002","CAPSULE","ORAL","100MG","AB","","","TEVA PHARMACEUTICALS USA INC","May 30, 2014"
"RX","CELECOXIB","CELECOXIB","A207872","002","CAPSULE","ORAL","100MG","AB","","","TIANJIN TIANYAO PHARMACEUTICALS CO LTD","Feb 25, 2020"
"RX","CELECOXIB","CELECOXIB","A207677","002","CAPSULE","ORAL","100MG","AB","","","TORRENT PHARMACEUTICALS LTD","Dec 23, 2015"
"RX","CELECOXIB","CELECOXIB","A210628","002","CAPSULE","ORAL","100MG","AB","","","UMEDICA LABORATORIES PRIVATE LTD","Nov 27, 2019"
"RX","CELECOXIB","CELECOXIB","A200562","002","CAPSULE","ORAL","100MG","AB","","","WATSON LABORATORIES INC","Feb 11, 2015"
"RX","CELECOXIB","CELECOXIB","A211412","002","CAPSULE","ORAL","100MG","AB","","","YILING PHARMACEUTICAL LTD","Mar 6, 2020"
"RX","CELECOXIB","CELECOXIB","A204519","003","CAPSULE","ORAL","200MG","AB","","","ALEMBIC PHARMACEUTICALS LTD","Aug 21, 2015"
"RX","CELECOXIB","CELECOXIB","A204197","003","CAPSULE","ORAL","200MG","AB","","","APOTEX INC","Jun 2, 2015"
"RX","CELECOXIB","CELECOXIB","A206827","003","CAPSULE","ORAL","200MG","AB","","","AUROBINDO PHARMA LTD","Feb 1, 2016"
"RX","CELECOXIB","CELECOXIB","A208701","003","CAPSULE","ORAL","200MG","AB","","","CADILA PHARMACEUTICALS LTD","Nov 14, 2019"
"RX","CELECOXIB","CELECOXIB","A207446","003","CAPSULE","ORAL","200MG","AB","","","CIPLA LTD","Sep 23, 2015"
"RX","CELECOXIB","CELECOXIB","A210071","003","CAPSULE","ORAL","200MG","AB","","","CSPC OUYI PHARMACEUTICAL CO LTD","Jan 23, 2018"
"RX","CELECOXIB","CELECOXIB","A202240","003","CAPSULE","ORAL","200MG","AB","","","LUPIN LTD","Jun 9, 2015"
"RX","CELECOXIB","CELECOXIB","A204590","003","CAPSULE","ORAL","200MG","AB","","","MACLEODS PHARMACEUTICALS LTD","Mar 16, 2016"
"RX","CELECOXIB","CELECOXIB","A204776","003","CAPSULE","ORAL","200MG","AB","","","MICRO LABS LTD","Apr 30, 2018"
"RX","CELECOXIB","CELECOXIB","A213598","001","CAPSULE","ORAL","200MG","AB","","","NANJING SIMCERE DONGYUAN PHARMACEUTICAL CO LTD","May 13, 2020"
"RX","CELECOXIB","CELECOXIB","A208856","003","CAPSULE","ORAL","200MG","AB","","","QINGDAO BAHEAL PHARMACEUTICAL CO LTD","Aug 7, 2019"
"RX","CELECOXIB","CELECOXIB","A205129","003","CAPSULE","ORAL","200MG","AB","","","SCIEGEN PHARMACEUTICALS INC","Dec 3, 2020"
"RX","CELECOXIB","CELECOXIB","A076898","003","CAPSULE","ORAL","200MG","AB","","","TEVA PHARMACEUTICALS USA INC","May 30, 2014"
"RX","CELECOXIB","CELECOXIB","A207872","003","CAPSULE","ORAL","200MG","AB","","","TIANJIN TIANYAO PHARMACEUTICALS CO LTD","Feb 25, 2020"
"RX","CELECOXIB","CELECOXIB","A207677","003","CAPSULE","ORAL","200MG","AB","","","TORRENT PHARMACEUTICALS LTD","Dec 23, 2015"
"RX","CELECOXIB","CELECOXIB","A210628","003","CAPSULE","ORAL","200MG","AB","","","UMEDICA LABORATORIES PRIVATE LTD","Nov 27, 2019"
"RX","CELECOXIB","CELECOXIB","A200562","003","CAPSULE","ORAL","200MG","AB","","","WATSON LABORATORIES INC","Feb 11, 2015"
"RX","CELECOXIB","CELECOXIB","A211412","003","CAPSULE","ORAL","200MG","AB","","","YILING PHARMACEUTICAL LTD","Mar 6, 2020"
"RX","CELECOXIB","CELECOXIB","A204519","004","CAPSULE","ORAL","400MG","AB","","","ALEMBIC PHARMACEUTICALS LTD","Aug 21, 2015"
"RX","CELECOXIB","CELECOXIB","A206827","004","CAPSULE","ORAL","400MG","AB","","","AUROBINDO PHARMA LTD","Feb 1, 2016"
"RX","CELECOXIB","CELECOXIB","A208701","004","CAPSULE","ORAL","400MG","AB","","","CADILA PHARMACEUTICALS LTD","Nov 14, 2019"
"RX","CELECOXIB","CELECOXIB","A207446","004","CAPSULE","ORAL","400MG","AB","","","CIPLA LTD","Sep 23, 2015"
"RX","CELECOXIB","CELECOXIB","A202240","004","CAPSULE","ORAL","400MG","AB","","","LUPIN LTD","Jun 9, 2015"
"RX","CELECOXIB","CELECOXIB","A204590","004","CAPSULE","ORAL","400MG","AB","","","MACLEODS PHARMACEUTICALS LTD","Mar 16, 2016"
"RX","CELECOXIB","CELECOXIB","A204776","004","CAPSULE","ORAL","400MG","AB","","","MICRO LABS LTD","Apr 30, 2018"
"RX","CELECOXIB","CELECOXIB","A208856","004","CAPSULE","ORAL","400MG","AB","","","QINGDAO BAHEAL PHARMACEUTICAL CO LTD","Aug 7, 2019"
"RX","CELECOXIB","CELECOXIB","A205129","004","CAPSULE","ORAL","400MG","AB","","","SCIEGEN PHARMACEUTICALS INC","Dec 3, 2020"
"RX","CELECOXIB","CELECOXIB","A076898","004","CAPSULE","ORAL","400MG","AB","","","TEVA PHARMACEUTICALS USA INC","May 30, 2014"
"RX","CELECOXIB","CELECOXIB","A207872","004","CAPSULE","ORAL","400MG","AB","","","TIANJIN TIANYAO PHARMACEUTICALS CO LTD","Feb 25, 2020"
"RX","CELECOXIB","CELECOXIB","A207677","004","CAPSULE","ORAL","400MG","AB","","","TORRENT PHARMACEUTICALS LTD","Dec 23, 2015"
"RX","CELECOXIB","CELECOXIB","A210628","004","CAPSULE","ORAL","400MG","AB","","","UMEDICA LABORATORIES PRIVATE LTD","Nov 27, 2019"
"RX","CELECOXIB","CELECOXIB","A200562","004","CAPSULE","ORAL","400MG","AB","","","WATSON LABORATORIES INC","Feb 11, 2015"
