"Mkt.Status","Active Ingredient","Proprietary Name","Appl. No.","Product Number","Dosage Form","Route","Strength","TE Code","RLD","RS","Applicant Holder","Approval Date"
"RX","ACETAMINOPHEN; IBUPROFEN","COMBOGESIC","N209471","001","TABLET","ORAL","325MG; 97.5MG","","RLD","RS","AFT PHARMACEUTICALS US INC","Mar 1, 2023"
"RX","ACETAMINOPHEN; IBUPROFEN SODIUM","COMBOGESIC IV","N215320","001","SOLUTION","INTRAVENOUS","1GM/100ML (10MG/ML); EQ 300MG BASE/100ML (EQ 3MG BASE/ML)","","RLD","RS","HIKMA PHARMACEUTICALS USA INC","Oct 17, 2023"
"RX","FAMOTIDINE; IBUPROFEN","IBUPROFEN AND FAMOTIDINE","A211890","001","TABLET","ORAL","26.6MG; 800MG","AB","","RS","ALKEM LABORATORIES LTD","Aug 3, 2021"
"RX","FAMOTIDINE; IBUPROFEN","IBUPROFEN AND FAMOTIDINE","A216814","001","TABLET","ORAL","26.6MG; 800MG","AB","","","ASCENT PHARMACEUTICALS INC","Mar 15, 2023"
"RX","FAMOTIDINE; IBUPROFEN","IBUPROFEN AND FAMOTIDINE","A203658","001","TABLET","ORAL","26.6MG; 800MG","AB","","","PH HEALTH LTD","Mar 22, 2024"
"RX","FAMOTIDINE; IBUPROFEN","IBUPROFEN AND FAMOTIDINE","A218684","001","TABLET","ORAL","26.6MG; 800MG","AB","","","ZYDUS LIFESCIENCES LTD","Feb 20, 2025"
"RX","HYDROCODONE BITARTRATE; IBUPROFEN","HYDROCODONE BITARTRATE AND IBUPROFEN","A076642","002","TABLET","ORAL","5MG; 200MG","","","","AMNEAL PHARMACEUTICALS NY LLC","Mar 18, 2004"
"RX","HYDROCODONE BITARTRATE; IBUPROFEN","HYDROCODONE BITARTRATE AND IBUPROFEN","A076604","001","TABLET","ORAL","7.5MG; 200MG","AB","","","ACTAVIS LABORATORIES FL INC","Dec 31, 2003"
"RX","HYDROCODONE BITARTRATE; IBUPROFEN","HYDROCODONE BITARTRATE AND IBUPROFEN","A076642","001","TABLET","ORAL","7.5MG; 200MG","AB","","RS","AMNEAL PHARMACEUTICALS NY LLC","Oct 12, 2004"
"RX","HYDROCODONE BITARTRATE; IBUPROFEN","HYDROCODONE BITARTRATE AND IBUPROFEN","A204575","001","TABLET","ORAL","7.5MG; 200MG","AB","","","AUROLIFE PHARMA LLC","Jun 2, 2016"
"RX","IBUPROFEN","CALDOLOR","N022348","002","SOLUTION","INTRAVENOUS","800MG/8ML (100MG/ML)","","RLD","RS","CUMBERLAND PHARMACEUTICALS INC","Jun 11, 2009"
"RX","IBUPROFEN","CALDOLOR","N022348","003","SOLUTION","INTRAVENOUS","800MG/200ML (4MG/ML)","","RLD","RS","CUMBERLAND PHARMACEUTICALS INC","Jan 25, 2019"
"RX","IBUPROFEN","IBUPROFEN","A074978","001","SUSPENSION","ORAL","100MG/5ML","AB","","RS","ACTAVIS MID ATLANTIC LLC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC","Mar 25, 1998"
"RX","IBUPROFEN","IBUPROFEN","A209178","001","SUSPENSION","ORAL","100MG/5ML","AB","","","AUROBINDO PHARMA LTD","Feb 16, 2018"
"RX","IBUPROFEN","IBUPROFEN","A076925","001","SUSPENSION","ORAL","100MG/5ML","AB","","","PADAGIS US LLC","Sep 23, 2004"
"RX","IBUPROFEN","IBUPROFEN","A215311","001","SUSPENSION","ORAL","100MG/5ML","AB","","","STRIDES PHARMA GLOBAL PTE LTD","May 27, 2022"
"RX","IBUPROFEN","IBUPROFEN","A209204","001","SUSPENSION","ORAL","100MG/5ML","AB","","","SUN PHARMA CANADA INC","Jun 23, 2017"
"RX","IBUPROFEN","IBUPROFEN","A202413","004","TABLET","ORAL","300MG","","","","SHANDONG XINHUA PHARMACEUTICAL CO LTD","Jul 5, 2024"
"RX","IBUPROFEN","IBUPROFEN","A214699","001","TABLET","ORAL","400MG","AB","","","ALKEM LABORATORIES LTD","Sep 13, 2021"
"RX","IBUPROFEN","IBUPROFEN","A071334","001","TABLET","ORAL","400MG","AB","","","AMNEAL PHARMACEUTICALS NY LLC","Nov 25, 1986"
"RX","IBUPROFEN","IBUPROFEN","A078558","001","TABLET","ORAL","400MG","AB","","","AMNEAL PHARMACEUTICALS NY LLC","Jun 18, 2007"
"RX","IBUPROFEN","IBUPROFEN","A213794","001","TABLET","ORAL","400MG","AB","","","AUROBINDO PHARMA LTD","May 8, 2020"
"RX","IBUPROFEN","IBUPROFEN","A071268","002","TABLET","ORAL","400MG","AB","","","CONTRACT PHARMACAL CORP","Oct 15, 1986"
"RX","IBUPROFEN","IBUPROFEN","A075682","001","TABLET","ORAL","400MG","AB","","","DR REDDYS LABORATORIES INC","Nov 14, 2001"
"RX","IBUPROFEN","IBUPROFEN","A076112","001","TABLET","ORAL","400MG","AB","","","DR REDDYS LABORATORIES INC","Oct 31, 2001"
"RX","IBUPROFEN","IBUPROFEN","A091625","001","TABLET","ORAL","400MG","AB","","","GRANULES INDIA LTD","Sep 15, 2015"
"RX","IBUPROFEN","IBUPROFEN","A090796","001","TABLET","ORAL","400MG","AB","","","MARKSANS PHARMA LTD","Dec 21, 2010"
"RX","IBUPROFEN","IBUPROFEN","A202413","001","TABLET","ORAL","400MG","AB","","","SHANDONG XINHUA PHARMACEUTICAL CO LTD","Nov 23, 2016"
"RX","IBUPROFEN","IBUPROFEN","A078329","001","TABLET","ORAL","400MG","AB","","","STRIDES PHARMA GLOBAL PTE LTD","Feb 5, 2009"
"RX","IBUPROFEN","IBUPROFEN","A215318","001","TABLET","ORAL","400MG","AB","","","YICHANG HUMANWELL PHARMACEUTICAL CO LTD","Mar 30, 2022"
"RX","IBUPROFEN","IBUPROFEN","A214699","002","TABLET","ORAL","600MG","AB","","","ALKEM LABORATORIES LTD","Sep 13, 2021"
"RX","IBUPROFEN","IBUPROFEN","A071335","001","TABLET","ORAL","600MG","AB","","","AMNEAL PHARMACEUTICALS NY LLC","Nov 25, 1986"
"RX","IBUPROFEN","IBUPROFEN","A078558","002","TABLET","ORAL","600MG","AB","","","AMNEAL PHARMACEUTICALS NY LLC","Jun 18, 2007"
"RX","IBUPROFEN","IBUPROFEN","A213794","002","TABLET","ORAL","600MG","AB","","","AUROBINDO PHARMA LTD","May 8, 2020"
"RX","IBUPROFEN","IBUPROFEN","A071268","001","TABLET","ORAL","600MG","AB","","","CONTRACT PHARMACAL CORP","Oct 15, 1986"
"RX","IBUPROFEN","IBUPROFEN","A075682","002","TABLET","ORAL","600MG","AB","","","DR REDDYS LABORATORIES INC","Nov 14, 2001"
"RX","IBUPROFEN","IBUPROFEN","A076112","002","TABLET","ORAL","600MG","AB","","","DR REDDYS LABORATORIES INC","Oct 31, 2001"
