"Mkt.Status","Active Ingredient","Proprietary Name","Appl. No.","Product Number","Dosage Form","Route","Strength","TE Code","RLD","RS","Applicant Holder","Approval Date"
"RX","HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE","LOPRESSOR HCT","N018303","001","TABLET","ORAL","25MG; 50MG","AB","RLD","","VALIDUS PHARMACEUTICALS LLC","Dec 31, 1984"
"RX","HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE","METOPROLOL TARTRATE AND HYDROCHLOROTHIAZIDE","A202870","001","TABLET","ORAL","25MG; 50MG","AB","","","ALEMBIC PHARMACEUTICALS LTD","Nov 6, 2013"
"RX","HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE","METOPROLOL TARTRATE AND HYDROCHLOROTHIAZIDE","A076792","001","TABLET","ORAL","25MG; 50MG","AB","","","MYLAN PHARMACEUTICALS","Aug 20, 2004"
"RX","HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE","METOPROLOL TARTRATE AND HYDROCHLOROTHIAZIDE","A215789","001","TABLET","ORAL","25MG; 50MG","AB","","","SENORES PHARMACEUTICALS INC","Jan 8, 2025"
"RX","HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE","METOPROLOL TARTRATE AND HYDROCHLOROTHIAZIDE","A202870","002","TABLET","ORAL","25MG; 100MG","AB","","RS","ALEMBIC PHARMACEUTICALS LTD","Nov 6, 2013"
"RX","HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE","METOPROLOL TARTRATE AND HYDROCHLOROTHIAZIDE","A076792","002","TABLET","ORAL","25MG; 100MG","AB","","","MYLAN PHARMACEUTICALS","Aug 20, 2004"
"RX","HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE","METOPROLOL TARTRATE AND HYDROCHLOROTHIAZIDE","A215789","002","TABLET","ORAL","25MG; 100MG","AB","","","SENORES PHARMACEUTICALS INC","Jan 8, 2025"
"RX","HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE","METOPROLOL TARTRATE AND HYDROCHLOROTHIAZIDE","A202870","003","TABLET","ORAL","50MG; 100MG","AB","","","ALEMBIC PHARMACEUTICALS LTD","Nov 6, 2013"
"RX","HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE","METOPROLOL TARTRATE AND HYDROCHLOROTHIAZIDE","A076792","003","TABLET","ORAL","50MG; 100MG","AB","","","MYLAN PHARMACEUTICALS","Aug 20, 2004"
"RX","METOPROLOL SUCCINATE","KAPSPARGO SPRINKLE","N210428","001","CAPSULE, EXTENDED RELEASE","ORAL","EQ 25MG TARTRATE","","RLD","","SUN PHARMA INDUSTRIES LTD","Jan 26, 2018"
"RX","METOPROLOL SUCCINATE","KAPSPARGO SPRINKLE","N210428","002","CAPSULE, EXTENDED RELEASE","ORAL","EQ 50MG TARTRATE","","RLD","","SUN PHARMA INDUSTRIES LTD","Jan 26, 2018"
"RX","METOPROLOL SUCCINATE","KAPSPARGO SPRINKLE","N210428","003","CAPSULE, EXTENDED RELEASE","ORAL","EQ 100MG TARTRATE","","RLD","","SUN PHARMA INDUSTRIES LTD","Jan 26, 2018"
"RX","METOPROLOL SUCCINATE","KAPSPARGO SPRINKLE","N210428","004","CAPSULE, EXTENDED RELEASE","ORAL","EQ 200MG TARTRATE","","RLD","RS","SUN PHARMA INDUSTRIES LTD","Jan 26, 2018"
"RX","METOPROLOL SUCCINATE","METOPROLOL SUCCINATE","A204161","001","TABLET, EXTENDED RELEASE","ORAL","EQ 25MG TARTRATE","AB","","","ACTAVIS ELIZABETH LLC","Nov 25, 2016"
"RX","METOPROLOL SUCCINATE","METOPROLOL SUCCINATE","A211143","001","TABLET, EXTENDED RELEASE","ORAL","EQ 25MG TARTRATE","AB","","","ALKEM LABORATORIES LTD","Nov 25, 2020"
"RX","METOPROLOL SUCCINATE","METOPROLOL SUCCINATE","A090617","001","TABLET, EXTENDED RELEASE","ORAL","EQ 25MG TARTRATE","AB","","","DR REDDYS LABORATORIES LTD","Aug 1, 2012"
